GSM	sample	timepoint	type	sample2	project
GSM1329461	PBS_36h_1	36h	PBS	PBS_1	sz
GSM1329462	PBS_36h_2	36h	PBS	PBS_2	sz
GSM1329463	PBS_36h_3	36h	PBS	PBS_3	sz
GSM1329465	GCSF_36h_1	36h	GCSF	GCSF_1	sz
GSM1329466	GCSF_36h_2	36h	GCSF	GCSF_2	sz
GSM1329467	GCSF_36h_3	36h	GCSF	GCSF_3	sz
GSM1329469	PBS_7d_1	7d	PBS	PBS_1	sz
GSM1329470	PBS_7d_2	7d	PBS	PBS_2	sz
GSM1329471	PBS_7d_3	7d	PBS	PBS_3	sz
GSM1329472	GCSF_7d_1	7d	GCSF	GCSF_1	sz
GSM1329473	GCSF_7d_2	7d	GCSF	GCSF_2	sz
GSM1329474	GCSF_7d_3	7d	GCSF	GCSF_3	sz
